,en,en_href,rating,dinner,lunch,holiday,area_genre,message
0,PARIS-h,https://tabelog.com/tw/osaka/A2701/A270108/27074010/,3.93,～JPY 999,～JPY 999,星期一、星期二、星期日,"渡邊橋車站 / 麵包, 西式甜點",1307
1,ACIDRACINES,https://tabelog.com/tw/osaka/A2701/A270104/27071315/,3.91,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期四,"天滿橋車站 / 蛋糕, 馬卡龍",1138
2,"Patisserie Ravi,e relier",https://tabelog.com/tw/osaka/A2701/A270103/27044987/,3.79,"JPY 1,000～JPY 1,999",-,星期一、星期日,"中崎町車站 / 蛋糕, 麵包",1227
3,ECHIRE MARCHE AU BEURRE,https://tabelog.com/tw/osaka/A2701/A270101/27068734/,3.77,～JPY 999,～JPY 999,-,"梅田車站 / 甜點, 蛋糕, 麵包",1176
4,BOULANGERIE BURDIGALA　 Oosakaten,https://tabelog.com/tw/osaka/A2701/A270101/27009000/,3.76,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-,"西梅田車站 / 麵包, 咖啡店, 蛋糕",1180
5,Gyokusei Ya,https://tabelog.com/tw/osaka/A2701/A270202/27001576/,3.76,-,"JPY 2,000～JPY 2,999",-,日本橋車站 / 日式點心,1048
6,PANE PORCINI,https://tabelog.com/tw/osaka/A2701/A270108/27049674/,3.75,～JPY 999,～JPY 999,星期日,"新福島車站 / 麵包, 貝果, 西式甜點",1448
7,LE SUCRE-COEUR Kitashinchi,https://tabelog.com/tw/osaka/A2701/A270101/27092018/,3.75,-,"JPY 1,000～JPY 1,999",星期一、星期二,"大江橋車站 / 麵包, 蛋糕",1127
8,Boulangerie Takagi,https://tabelog.com/tw/osaka/A2701/A270102/27002376/,3.75,"JPY 1,000～JPY 1,999",～JPY 999,星期一、星期日,"肥後橋車站 / 麵包, 三明治, 西式甜點",848
9,Gelateria Circo D'oro,https://tabelog.com/tw/osaka/A2701/A270204/27009531/,3.75,"JPY 2,000～JPY 2,999",～JPY 999,星期三、星期四,"谷町六丁目車站 / 意式冰淇淋/冰淇淋, 咖啡店",750
10,Kan Bukuro,https://tabelog.com/tw/osaka/A2705/A270501/27001078/,3.74,"JPY 1,000～JPY 1,999",～JPY 999,星期二、星期三,"寺地町車站 / 日式點心, 日式甜點店, 剉冰",1246
11,CHOCOLATIER PALET D'OR Oosaka,https://tabelog.com/tw/osaka/A2701/A270101/27003190/,3.74,"JPY 2,000～JPY 2,999","JPY 3,000～JPY 3,999",-,"西梅田車站 / 巧克力, 咖啡店, 蛋糕",1055
12,Mochisho Shizuku Shin Machi Ten,https://tabelog.com/tw/osaka/A2701/A270201/27024632/,3.74,-,"JPY 1,000～JPY 1,999",-,"西大橋車站 / 日式點心, 大福麻糬, 咖啡店",953
13,Tsumagari Daimaru Umeda Ten,https://tabelog.com/tw/osaka/A2701/A270101/27003482/,3.74,"JPY 1,000～JPY 1,999",-,-,大阪車站 / 西式甜點,461
